PERMIT_TYPE	APP_ID	WDID	STATUS	NOI_PROCESSED_DATE	NOT_EFFECTIVE_DATE	REGION_BOARD	COUNTY	OPERATOR_NAME	FACILITY_NAME	FACILITY_ADDRESS	FACILITY_ADDRESS_2	FACILITY_CITY	FACILITY_STATE	FACILITY_ZIP	FACILITY_LATITUDE	FACILITY_LONGITUDE	FACILITY_COUNTY	FACILITY_CONTACT_FIRST_NAME	FACILITY_CONTACT_LAST_NAME	FACILITY_TITLE	FACILITY_PHONE	FACILITY_EMAIL	FACILITY_TOTAL_SIZE	FACILITY_TOTAL_SIZE_UNIT	FACILITY_AREA_ACTIVITY	FACILITY_AREA_ACTIVITY_UNIT	PERCENT_OF_SITE_IMPERVIOUSNESS	PRIMARY_SIC	SECONDARY_SIC	TERTIARY_SIC	RECEIVING_WATER_NAME	INDIRECTLY	DIRECTLY	CERTIFIER_BY	CERTIFIER_TITLE	CERTIFICATION_DATE	QUESTION_TMDL_ANSWER
Industrial	180622	2 01I000712	Terminated	03/19/1992	01/01/2002	2	Alameda	DeGussa Corp	Creanova Inc 	5555 Sunol Blvd		Pleasanton	CA	94566	37.64949	-121.88069	Alameda	ROBERT	Henshaw		9254625700		8	Acres		 	0	2816-Inorganic Pigments	2851-Paints, Varnishes, Lacquers, Enamels, and Allied Products		Arroyo Del Valle Creek						 
Industrial	180623	2 01I000716	Terminated	03/19/1992	10/23/2009	2		HENKEL ADHESIVES CORP.	HENKEL ADHESIVES CORP.	25817 CLAWITER		Hayward	CA	94545	37.63141	-122.11972		Charles	Phillips		510-786-3700	charles.phillips@us.henkel.com	120000	SqFt		 		2891-Adhesives and Sealants			San Francisco Bay						 
Industrial	180625	2 01I000726	Terminated	03/19/1992	08/27/2009	2	Alameda	BERKELEY/OAKLAND READY MIX	BERKELEY/OAKLAND READY MIX	401 EMBARCADERO		Oakland	CA	94606	37.79072	-122.26194	Alameda	ROBERT	BRANSTAD		5105261611		197449	SqFt		 		3273-Ready-Mixed Concrete			San Francisco Bay						 
Industrial	180627	2 01I000767	Terminated	03/20/1992	11/27/2015	2	Alameda	Seaside Transportation Services LLC	Ben E Nutter Terminal 	5190 7th St		Oakland	CA	94607	37.80461	-122.33837	Alameda	Michael	Andrews	Operations Manager	510-645-2440	michaelan@mtcorp.com	36	Acres	74	Acres		4491-Marine Cargo Handling			San Francisco Bay south Of Ba		N	Michael Andrews	Operations Manager	12-NOV-15 02.22.09.380000 PM	 
Industrial	180628	2 01I000786	Terminated	03/20/1992	04/05/2001	2	Alameda	San Francisco Bay Brand Inc	SF Bay Brand Inc 	8239 Enterprise Dr		Newark	CA	94560	37.52286	-122.04602	Alameda	Peter	Erickson		510-792-7200		114000	SqFt		 		2048-Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats			San Francisco Bay						 
Industrial	180629	2 01I000793	Terminated	08/05/2005		2	Alameda	Precision Technical Coatings	Precision Technical Coating 	1220 4th St		Berkeley	CA	94710	37.88005	-122.30394	Alameda	Victor	Emmerich		510-525-3600	precberk@aol.com	15000	SqFt		 		2851-Paints, Varnishes, Lacquers, Enamels, and Allied Products									 
Industrial	180630	2 01I000828	Terminated	03/19/1992	11/29/2023	2	Alameda	Hanson Aggregates 	Berkeley Asphalt	699 VIRGINIA		Berkeley	CA	94710	37.87173	-122.30268	Alameda	Steve	 Valencia 	Operations Manager	925-786-4716	steve.valencia@martinmarietta.com	2.5	Acres	2.5	Acres		2951-Asphalt Paving Mixtures and Blocks			City of Berkeley MS4 to Central San Francisco Bay	N	Y	Erika Guerra	Environmental and Land Resources Director 	02-FEB-23 05.55.18.983000 PM	N
Industrial	180632	2 01I000886	Terminated	03/23/1992	05/31/2003	2	Alameda	United Airlines 	United Airlines Omc 	Harry Bridges Blvd		Oakland	CA	94621			Alameda	Dennis	Moulton		5103828020		40	Acres		 	3	4512-Air Transportation, Scheduled	4581-Airports, Flying Fields, and Airport Terminal Services		San Francisco Bay						 
Industrial	180633	2 01I000892	Terminated	03/23/1992	12/20/2002	2	Alameda	Macaulay Foundry	Macaulay Foundry 	811 Carleton St		Berkeley	CA	94710	37.8565	-122.2949	Alameda	FRANK	Miranda		5108452911		4	Acres		 		3321-Gray and Ductile Iron Foundries			San Francisco Bay						 
Industrial	180634	2 01I000927	Active	03/23/1992		2	Alameda	Tri Cities Recycling  Disposal	Tri Cities Recycling  Disposal	7010 Auto Mall Pkwy		Fremont	CA	94538	37.49759	-121.98569	Alameda	Scott	Tignac	District Manager	805-732-0613	stignac@wm.com	378	Acres	245.03	Acres	0	2499-Wood Products, NEC	1429-Crushed and Broken Stone, NEC	4212-Local Trucking Without Storage	Acfcd Channel	Y	N	Scott Tignac	District Manager	03-JUL-25 08.17.22.016000 AM	N
Industrial	180635	2 01I000993	Terminated	03/23/1992	11/22/2004	2		EAST BAY AUTO DISM INC	EAST BAY AUTO DISM INC	3898 DEPOT		Hayward	CA	94545	37.63776	-122.13646		DAVID	MEW		5107855850		4	Acres		 		5015-Motor Vehicle Parts, Used			San Francisco Bay						 
Industrial	180637	2 01I000999	Terminated	03/23/1992	06/06/2011	2	Alameda	General Foundry Service Corp	General Foundry Service Corp	459 Hester St		San Leandro	CA	94577	37.7219	-122.19104	Alameda	John	Fehringer		510-297-5040	johnf@genfoudry.com	1	Acres		 		3365-Aluminum Foundries			San Francisco Bay						 
Industrial	180638	2 01I001001	Terminated	03/23/1992		2	Alameda	Richmond Optical Co 	Richmond Optical Co 	29425 Ruus Rd		Hayward	CA	94544	37.62075	-122.06407	Alameda	Paul	Furr		510-783-1420		2	Acres		 	99	3851-Ophthalmic Goods			San Francisco Bay						 
Industrial	180639	2 01I001008	Terminated	03/23/1992	05/18/2005	2	Alameda	Day, Ronald L 	Ronald L Day Trans 	733 Kevin Ct		Oakland	CA	94621	37.75811	-122.20733	Alameda	Ronald	Day		510-635-1311		2	Acres		 		4225-General Warehousing and Storage									 
Industrial	180640	2 01I001025	Terminated	03/25/1992	10/11/2010	2	Alameda	Waste Management Alameda Cnty	Waste Mgmt Alameda Co 	6175 Southfront Rd		Livermore	CA	94551	37.70893	-121.72168	Alameda	Todd	Nienhouse		925-371-4037	tnienhou@wm.com	3	Acres		 	0	4212-Local Trucking Without Storage			Arroyo Las Positas						 
Industrial	180641	2 01I001047	Terminated	03/25/1992		2	Alameda	Anchor Glass Container Corp 	Anchor Glass Container Corp 	22302 Hathaway Ave		Hayward	CA	94541	37.6672	-122.10406	Alameda	Pam	Fernandez		510-784-0881		30	Acres		 	0	3221-Glass Containers			San Francisco Bay						 
Industrial	180642	2 01I001086	Terminated	03/25/1992	06/29/2006	2	Alameda	Utility Vault Co 	Utility Vault Co 	4445 Jensen St		Oakland	CA	94601	37.76652	-122.2204	Alameda	Alex	Wong		9253839604		57000	SqFt		 	10	3446-Architectural and Ornamental Metal Work			East Creek Slough	Y					 
Industrial	180643	2 01I001145	Terminated	03/25/1992	04/21/2000	2		FLIGHCRAFT INC.	FLIGHTCRAFT INC.	19990 SKYWEST		Hayward	CA	94541	37.66389	-122.12011		Patti	Mork		510-785-5511		11	Acres		 		4581-Airports, Flying Fields, and Airport Terminal Services			Sulphur Creek						 
Industrial	180645	2 01I001155	Terminated	03/25/1992	01/08/2001	2	Alameda	Hadley Auto Transportation	Hadley Auto Trans 	1407 Middle Harbor Rd		Oakland	CA	94607	37.79752	-122.29889	Alameda	Ron	Chamberlain		415-444-3963		3	Acres		 		4212-Local Trucking Without Storage	4213-Trucking, Except Local		Oakland Inner Harbor						 
Industrial	180646	2 01I001156	Terminated	03/25/1992	05/03/2001	2	Alameda	Garner, LD	Garner Heat Treat 	10001 Denny St		Oakland	CA	94603	37.73643	-122.18078	Alameda	Doug	Fincke		510-568-0587		19110	SqFt		 		3398-Metal Heat Treating			San Francisco Bay						 
Industrial	180647	2 01I001168	Terminated	03/26/1992	02/13/2007	2	Alameda	Albertsons Inc	Albertson S Inc 	1701 Marina Blvd		San Leandro	CA	94577	37.70924	-122.16952	Alameda	Pat	Jefferys		510-678-4931	pat.jefferys@albertsons.com	55	Acres		 		4222-Refrigerated Warehousing and Storage	4213-Trucking, Except Local	2051-Bread and Other Bakery Products, Except Cookies and Crackers	San Francisco Bay						 
Industrial	180648	2 01I001201	Terminated	03/26/1992	06/08/2016	2	Alameda	Fed Ex 7113 	Fed Ex 	1 Sally Ride Way		Oakland	CA	94621	37.72064	-122.21972	Alameda	Mark	Fraser		510-639-3700		28	Acres		 		4513-Air Courier Services									 
Industrial	180649	2 01I001218	Terminated	03/26/1992	06/30/2002	2	Alameda	Jones Hamilton Co 	Jones Hamilton Co 	8400 Enterprise Dr		Newark	CA	94560	37.52248	-122.04871	Alameda	COLBY	Laplace		5107972471		21	Acres		 		2819-Industrial Inorganic Chemicals, NEC			San Francisco Bay						 
Industrial	180650	2 01I001219	Terminated	03/26/1992	03/25/2007	2	Alameda	Mothers Cake & Cookie Co	Mother S Cake & Cookie Co 	810 81st Ave		Oakland	CA	94621	37.75001	-122.19195	Alameda	Bob	Pires		5105692323		457000	SqFt		 		2052-Cookies and Crackers			San Francisco Bay						 
Industrial	180651	2 01I001245	Active	03/26/1992		2	Alameda	Dumbarton Quarry Association	Dumbarton Quarry 	9600 Quarry Rd		Fremont	CA	94555	37.54289	-122.06875	Alameda	Bryan	 Evans	Materials manager	925-361-1426	bevans@pacificstates.net	91	Acres	91	Acres	95	1429-Crushed and Broken Stone, NEC	2951-Asphalt Paving Mixtures and Blocks		San Francisco	Y	N	Alan French	General Manager	10-JUN-15 01.20.25.273000 PM	N
Industrial	180652	2 01I001277	Terminated	03/27/1992	10/24/2017	2	Alameda	Fred Pare	Owens Brockway Glass Container	3600 Alameda Ave		Oakland	CA	94601	37.76823	-122.22681	Alameda	Bill	Boscacci		510-436-2166	bill.boscacci@o-I.com	27	Acres	25.6	Acres		3221-Glass Containers			Oakland Estuary		N	Bill Boscacci	EHS Manager	18-JUN-15 09.01.09.983000 AM	 
Industrial	180653	2 01I001422	Terminated	03/27/1992	08/03/2016	2	Alameda	Kraft Foods Inc 	Kraft Foods Inc 	100 Halcyon Dr		San Leandro	CA	94578	37.70187	-122.14053	Alameda	Michael	Corbin	Plant Manager	510-639-5000	Michael.Corbin@kraftfoods.com	35	Acres	35	Acres		2095-Roasted Coffee			Bay	Y	N	Matt Straube	Plant Manager	06-APR-16 06.33.45.904000 AM	 
Industrial	180654	2 01I001468	Terminated	03/27/1992	05/27/2014	2	Alameda	Con Agra Foods Oakland	Con Agra Foods Oakland	2201 E 7th St		Oakland	CA	94606	37.77536	-122.24	Alameda	Leah	Sanders		510-434-3549		380000	SqFt		 	2	2041-Flour and Other Grain Mill Products			Oakland Estuary						 
Industrial	180655	2 01I001501	Terminated	03/27/1992	03/15/2002	2	Alameda	Hickory Springs 	Hichory Springs 	30955 San Antonio St		Hayward	CA	94544	37.61232	-122.04836	Alameda	Pete	Silva		415-489-7300		187605	SqFt		 	20	3086-Plastics Foam Products			San Francisco Bay						 
Industrial	180656	2 01I001507	Active	03/27/1992		2	Alameda	Waste Management Alameda Cnty	Waste Management of  Alameda County	172 98th Ave		Oakland	CA	94603	37.72928	-122.19452	Alameda	Todd	 Nienhouse	Senior District Manager	209-300-1642	tnienhou@wm.com	12.7	Acres	12	Acres		4212-Local Trucking Without Storage			San Leandro Creek	Y	N	Todd Nienhouse	Director of Disposal Operations	19-JAN-17 03.03.39.022000 PM	N
Industrial	180657	2 01I001574	Terminated	03/27/1992		2	Alameda	Rohm & Hass Co 	Rohm & Hass Co 	25500 Whitesell St		Hayward	CA	94545	37.62923	-122.12729	Alameda	Kathleen	A Haddock		510-784-0100	khaddock@rhomhaas.com	33	Acres		 	40	2821-Plastics Material and Synthetic Resins, and Nonvulcanizable Elastomers			San Francisco Bay						 
Industrial	180658	2 01I001576	Terminated	03/27/1992	05/01/2000	2	Alameda	Fleischmanns Yeast Inc	Fleischmann S Yeast Inc 	921 98th Ave		Oakland	CA	94603	37.7394	-122.17942	Alameda	Ric	Boyd		510-633-2228		10	Acres		 		2099-Food Preparations, NEC			San Francisco Bay						 
Industrial	180659	2 01I001579	Terminated	03/27/1992	01/10/2003	2	Alameda	Crescent Truck Lines Inc 	Crescent Truck Lines Inc 	2480 Whipple Rd		Hayward	CA	94544	37.60691	-122.06323	Alameda	Anthony	L Crawley		510-471-8900		5	Acres		 	0	4213-Trucking, Except Local			Flood Control Ditch (alameda C						 
Industrial	180660	2 01I001591	Active	03/27/1992		2	Alameda	United States Pipe and Foundry Co LLC	United States Pipe and Foundry Co LLC	1295 Whipple Rd		Union City	CA	94587	37.60594	-122.04331	Alameda	Jake	Wilcox	Environmental Manager	510-441-5865	jwilcox@uspipe.com	70	Acres	40	Acres	10	3321-Gray and Ductile Iron Foundries			Old Alameda Creek	Y	N	Rex Carpenter	Plant Manager	05-JUL-23 11.56.07.219000 AM	N
Industrial	180661	2 01I001595	Terminated	03/27/1992	02/28/2003	2		SURTEC, INC.	SURTEC, INC.	29334 PACIFIC		Hayward	CA	94544	37.62784	-122.05398		Don	C Fromm		510-582-7800		2	Acres		 		2841-Soaps and Other Detergents, Except Speciality Cleaners			Alameda Creek						 
Industrial	180663	2 01I001623	Terminated	03/27/1992	08/27/2001	2	Alameda	Philip Bros Chemical 	Phibro Tech Inc 	34400 Zwissig Way		Union City	CA	94587	37.59186	-122.01134	Alameda	Pat	Cassata		510-489-1478		3	Acres		 		2819-Industrial Inorganic Chemicals, NEC			Alameda Creek						 
Industrial	180664	2 01I001628	Active	03/27/1992		2	Alameda	Livermore City 	Livermore Municipal Airport	636 Terminal Cir		Livermore	CA	94551	37.69677	-121.82003	Alameda	Brett	Gregory	Airport Staff	925-960-8236	bagregory@livermoreca.gov	590	Acres	2.12	Acres	1	4581-Airports, Flying Fields, and Airport Terminal Services			Alameda Creek	Y	N	Brett Gregory	Airport Staff	17-MAR-22 09.31.53.175000 AM	N
Industrial	180665	2 01I001675	Terminated	03/27/1992	04/19/2005	2	Alameda	Production Pattern Foundry	Production Pattern Foundr 	700 Marina Blvd		San Leandro	CA	94577	37.71456	-122.15685	Alameda	RAY	Switzer		5103572064		4	Acres		 		3365-Aluminum Foundries			San Francisco Bay						 
Industrial	180666	2 01I001696	Terminated	03/30/1992	05/23/2003	2	Alameda	Norton Packaging Inc	Norton Packaging Inc 	3100 E 10th St		Oakland	CA	94601	37.77584	-122.22798	Alameda	Mark	Norton		510-533-6541		79000	SqFt		 		3412-Metal Shipping Barrels, Drums, Kegs, and Pails			Alamenda Estuary						 
Industrial	180667	2 01I001698	Terminated	03/30/1992	04/21/2008	2	Alameda	Norton Packaging Inc 	Norton Packaging Inc 	20550 Corsair Blvd		Hayward	CA	94545	37.65882	-122.12941	Alameda	Chuck	Sturgill		510-786-3445	csturgill@nortonpackaging.com	5	Acres		 	99	3089-Plastics Products, NEC			San Francisco Bay						 
Industrial	180668	2 01I001703	Terminated	08/05/2005	09/27/2017	2	Alameda	Norton Industries Inc	Norton Industries Inc	1833 Stearman Ave		Hayward	CA	94545	37.65932	-122.13222	Alameda	Colin	Heuer 	Plant Manager	510-785-3040	cheuer@nortonclamps.com	138000	SqFt	138000	Sqft		3499-Fabricated Metal Products, NEC			San Francisco Bay	Y	N	Colin Heuer	Plant Manager	12-MAR-15 09.28.30.912000 AM	 
Industrial	180669	2 01I001712	Active	03/30/1992		2	Alameda	Newark Unified School District	NUSD	37370 Birch St Building B		Newark	CA	94560	37.53495	-122.02449	Alameda	Susan	Condon	Director Facilities and Maintenance	510-818-4277	scondon@newarkunified.org	7	Acres	7	Acres	0	4151-School Buses			Hetch Hetchy	Y	N	Susan Condon	Director Maintenance	24-SEP-18 10.51.50.000000 AM	 
Industrial	180670	2 01I001715	Terminated	03/30/1992	10/20/2005	2	Alameda	Gallagher & Burk Inc 	Gallagher & Burk Inc 	7100 Mountain Blvd		Oakland	CA	94605	37.777212	-122.165082	Alameda	David	Chapman		5102610466		125	Acres		 		1429-Crushed and Broken Stone, NEC			Chimes Creek						 
Industrial	180671	2 01I001728	Terminated	03/30/1992	02/03/2000	2	Alameda	New Haven Unified School	Dorp Yard 	3636 Smith St		Union City	CA	94587	37.59646	-122.07455	Alameda	Paul	Chafer		510-471-5590		4	Acres		 		4151-School Buses			San Francisco Bay						 
Industrial	180672	2 01I001733	Active	03/30/1992		2	Alameda	PACIFIC ROLLER DIE INC	PACIFIC ROLLER DIE INC	1321 WINTON		Hayward	CA	94545	37.65317	-122.11726	Alameda	Jordan	Malagon	Mechanical Engineer	510-782-7242	Jordan.malagon@prdcompany.com	5	Acres	5	Acres		3548-Electric and Gas Welding and Soldering Equipment	3549-Metalworking Machinery, NEC		San Francisco Bay	Y	N	yusuf  akcevin	general manager	05-DEC-24 04.58.01.983000 PM	N
Industrial	180674	2 01I001816	Terminated	03/30/1992	12/28/2006	2		ETEC STSTEMS	ETEC SYSTEMS, INC.	26460 CORPORATE		Hayward	CA	94545	37.62685	-122.11352		Martin	Gothberg		510-780-2370		17	Acres		 		3679-Electronic Components, NEC			San Francisco Bay						 
Industrial	180676	2 01I001872	Active	03/30/1992		2	Alameda	Pacific Galvanizing	Pacific Galvanizing	715 46th Ave		Oakland	CA	94601	37.76618	-122.2176	Alameda	Geoff	Branagh		510-261-7331	geoff@pacificgalvanizing.com	75000	SqFt	75000	Sqft	100	3479-Coating, Engraving, and Allied Services, NEC			San Leandro Bay	N	N	Jack Schultz	VP	02-JUL-15 10.49.33.965000 AM	N
Industrial	180677	2 01I001886	Terminated	03/31/1992	03/23/2007	2	Alameda	US Army Military Traffic Management	US Army Military Traffic Mgt C	Oakland Army Base		Oakland	CA	94626			Alameda	Henry	S Leite		510-466-3088		422	Acres		 		4491-Marine Cargo Handling			San Francisco Bay						 
Industrial	180678	2 01I001921	Terminated	03/31/1992		2	Alameda	EMJ Co Kilsby Roberts	Emj Co Kilsby Roberts 	31100 Wiegman Rd		Hayward	CA	94544	37.60979	-122.06128	Alameda	Mike	Stegman		510-487-2700		5	Acres		 	0	4213-Trucking, Except Local			San Francisco Bay						 
Industrial	180679	2 01I001967	Terminated	03/30/1992	04/06/2009	2	Alameda	WR Grace & Co CONN	WR Grace & Co CONN	2140 Davis St		San Leandro	CA	94577	37.71688	-122.1853	Alameda	Brian	Freeman		510-377-0167		1.3	Acres		 	0	5169-Chemicals and Allied Products, NEC			San Francisco Bay						 
Industrial	180680	2 01I001971	Terminated	03/30/1992	08/27/2001	2	Alameda	Palestro Distribution Centers 	Palestro Distribution Centers 	21118 Cabot Blvd		Hayward	CA	94545	37.64514	-122.13743	Alameda	Joe	Palestro		510-887-8280		130000	SqFt		 	20	4225-General Warehousing and Storage			San Francisco Bay						 
Industrial	180681	2 01I001978	Active	03/30/1992		2	Alameda	Hayward City 	Hayward City 	20301 Skywest Dr		Hayward	CA	94541	37.6638	-122.12015	Alameda	Pamela	Svrdlin	Operations Supervisor	510-293-5462	pamela.svrdlin@hayward-ca.gov	521	Acres	2.2	Acres	20	4581-Airports, Flying Fields, and Airport Terminal Services			Sulfur Creek	Y	N	Douglas McNeeley	Airport Manager	08-JUN-15 10.31.40.381000 AM	N
Industrial	180682	2 01I002007	Terminated	03/30/1992	08/26/2014	2	Alameda	Pacific Steel Casting	Pac Steel Casting 	1333 2nd St		Berkeley	CA	94710	37.87788	-122.3056	Alameda	David	Polvi		510-558-2256	dpolvi@pacificsteel.com	321633	SqFt		 		3325-Steel Foundries, NEC			San Francisco Bay			David Polvi		23-JUN-14 11.06.45.320000 AM	 
Industrial	180683	2 48I002013	Terminated	03/30/1992	07/01/2025	2	Solano	United Parcel Service Oakland Hub	UPS Cordelia Center CACOR	5000 Cordelia Road		Fairfield	CA	94534	38.209551	-122.142832	Solano	Jennnifer	Trigos	Corporate Environmental Coordinator	510-453-2020	0386env@ups.com	161838	SqFt	64089	Sqft	0	4215-Courier Services Except by Air			Suisun Marsh Wetlands	Y	N	James Carracino	Manager	08-NOV-22 04.19.24.813000 PM	N
